Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Ankle On The Knee,Glutes,None,Stretching,https://videos.bodybuilding.com/video/mp4/58000/59622m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/394/Male/m/394_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/394/Male/m/394_2.jpg,4.8
Knee Across The Body,Glutes,None,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60022m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/428/Male/m/428_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/428/Male/m/428_1.jpg,3.5
One Knee To Chest,Glutes,None,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60262m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/401/Male/m/401_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/401/Male/m/401_1.jpg,2.7
