Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Overhead Cable Curl,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/30031m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/213/Male/m/213_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/213/Male/m/213_2.jpg,9
Standing One-Arm Cable Curl,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/32000/33101m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/192/Male/m/192_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/192/Male/m/192_1.jpg,8.8
Reverse Cable Curl,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/30251m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/141/Male/m/141_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/141/Male/m/141_2.jpg,8.7
Standing Biceps Cable Curl,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/32000/33231m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/131/Male/m/131_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/131/Male/m/131_2.jpg,8.5
Lying Cable Curl,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/32000/32471m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/144/Male/m/144_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/144/Male/m/144_1.jpg,8.2
Cable Hammer Curls - Rope Attachment,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/31901m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/189/Male/m/189_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/189/Male/m/189_1.jpg,8.2
High Cable Curls,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/32000/32361m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/286/Male/m/286_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/286/Male/m/286_2.jpg,7.9
Cable Preacher Curl,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/31961m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/221/Male/m/221_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/221/Male/m/221_2.jpg,7.5
Lying Close-Grip Bar Curl On High Pulley,Biceps,Cable,Strength,https://videos.bodybuilding.com/video/mp4/32000/32481m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/331/Male/m/331_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/331/Male/m/331_2.jpg,7.1
