Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Barbell Glute Bridge,Glutes,Barbell,Powerlifting,https://videos.bodybuilding.com/video/mp4/76000/76652m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/662/Male/m/662_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/662/Male/m/662_2.jpg,9.4
Barbell Hip Thrust,Glutes,Barbell,Powerlifting,https://videos.bodybuilding.com/video/mp4/76000/76632m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/661/Male/m/661_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/661/Male/m/661_2.jpg,9.1
Kneeling Squat,Glutes,Barbell,Powerlifting,https://videos.bodybuilding.com/video/mp4/78000/78132m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/m/697_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/m/697_2.jpg,8.6
Kneeling Jump Squat,Glutes,Barbell,Olympic Weightlifting,https://videos.bodybuilding.com/video/mp4/76000/76872m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/749/Male/m/749_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/749/Male/m/749_2.jpg,7.6
