Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Spell Caster,Abdominals,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/104000/105272m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2041/Male/m/2041_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2041/Male/m/2041_2.jpg,9.3
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/122000/122651m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4751/Male/m/4751_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4751/Male/m/4751_2.jpg,9.3
Dumbbell Side Bend,Abdominals,Dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/29141m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/88/Male/m/88_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/88/Male/m/88_2.jpg,8.6
