Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Machine Bicep Curl,Biceps,Machine,Strength,https://videos.bodybuilding.com/video/mp4/94000/94672m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_1.jpg,9
Machine Preacher Curls,Biceps,Machine,Strength,https://videos.bodybuilding.com/video/mp4/28000/29741m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/148/Male/m/148_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_1.jpg,8.3
