Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
One-Legged Cable Kickback,Glutes,Cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/30021m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/101/Male/m/101_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/101/Male/m/101_2.jpg,9
Pull Through,Glutes,Cable,Strength,https://videos.bodybuilding.com/video/mp4/78000/78432m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/707/Male/m/707_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/707/Male/m/707_2.jpg,7.4
