Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Spider Curl,Biceps,E-Z Curl Bar,Strength,https://videos.bodybuilding.com/video/mp4/32000/32571m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/178/Male/m/178_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/178/Male/m/178_2.jpg,9.2
EZ-Bar Curl,Biceps,E-Z Curl Bar,Strength,https://videos.bodybuilding.com/video/mp4/28000/29231m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/210/Male/m/210_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/210/Male/m/210_2.jpg,9.1
Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar,Strength,https://videos.bodybuilding.com/video/mp4/30000/30241m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/8/Male/m/8_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/8/Male/m/8_2.jpg,8.8
Close-Grip EZ-Bar Curl with Band,Biceps,E-Z Curl Bar,Strength,https://videos.bodybuilding.com/video/mp4/104000/104962m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1631/Male/m/1631_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1631/Male/m/1631_2.jpg,7.9
