Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Seated Overhead Stretch,Abdominals,None,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60492m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/406/Male/m/406_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/406/Male/m/406_2.jpg,4.7
Overhead Stretch,Abdominals,None,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60282m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/432/Male/m/432_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/432/Male/m/432_2.jpg,3.9
Standing Lateral Stretch,Abdominals,None,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60772m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/411/Male/m/411_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/411/Male/m/411_2.jpg,3.2
