Name,Muscle,Equipment,Type,Video,Image1,Image2,Rating
Reverse Plate Curls,Biceps,Other,Strength,https://videos.bodybuilding.com/video/mp4/30000/30311m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/320/Male/m/320_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/320/Male/m/320_2.jpg,7.2
Standing Biceps Stretch,Biceps,Other,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60712m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/463/Male/m/463_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/463/Male/m/463_2.jpg,7.1
Suspended Curl,Biceps,Other,Strength,https://videos.bodybuilding.com/video/mp4/118000/119051m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3891/Male/m/3891_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3891/Male/m/3891_2.jpg,na
Hammer Plate Curl,Biceps,Other,Strength,https://videos.bodybuilding.com/video/mp4/122000/122882m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5033/Male/m/5033_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5033/Male/m/5033_2.jpg,na
